MappingID,Domain,SourceTable,SourceField,TargetField,TransformationRule,ValidationRule,ErrorCode,BusinessContext
MAP-GL-001,General Ledger,ACDOCA,RBUKRS+GJAHR+BELNR,journalEntry.documentId,"CONCAT(RBUKRS,'-',GJAHR,'-',LTRIM(BELNR,'0'))","NOT NULL; regex ^[A-Z0-9]{2,6}-\d{4}-\d{1,10}$",ERR-MAP-001;ERR-VAL-001,Composite business key linking SAP document to FinSight record; idempotency and audit lineage
MAP-GL-002,General Ledger,ACDOCA,BUDAT,journalEntry.postingDate,"FORMAT(BUDAT,'YYYY-MM-DD')","NOT NULL; within fiscal year +/-1 month",ERR-MAP-002;ERR-VAL-005,Posting date determines fiscal-period bucket; ISO 8601 required
MAP-GL-003,General Ledger,ACDOCA,BLDAT,journalEntry.documentDate,"FORMAT(BLDAT,'YYYY-MM-DD')",NOT NULL; <= postingDate + 30 days,ERR-MAP-002;ERR-VAL-005,Original document date for invoice-to-posting lag analysis
MAP-GL-004,General Ledger,ACDOCA,RACCT,journalEntry.glAccount,"LTRIM(RACCT,'0') then lookup analytics CoA mapping",Must exist in target chart of accounts,ERR-MAP-001;ERR-VAL-004,Maps SAP CoA to FinSight analytical CoA; consistency 100%
MAP-GL-005,General Ledger,ACDOCA,HSL,journalEntry.amountLC,"DECIMAL(HSL,2) in group currency (INR)","NOT NULL; range -999999999.99 to 999999999.99",ERR-MAP-001;ERR-VAL-002,Local/group-currency amount; feeds debit-credit reconciliation
MAP-GL-006,General Ledger,ACDOCA,WSL,journalEntry.amountTC,"DECIMAL(WSL,2) in transaction currency",NOT NULL; same range as amountLC,ERR-MAP-001;ERR-VAL-002,Transaction-currency amount for multi-currency reporting
MAP-GL-007,General Ledger,ACDOCA,RHCUR,journalEntry.localCurrency,Direct map; validate ISO 4217,Valid 3-letter ISO 4217 code,ERR-MAP-004;ERR-VAL-003,Group currency (INR) code; guards RS->INR typo class
MAP-GL-008,General Ledger,ACDOCA,RWCUR,journalEntry.transactionCurrency,Direct map; validate ISO 4217,Valid 3-letter ISO 4217 code,ERR-MAP-004;ERR-VAL-003,Transaction currency; input to point-in-time TCURR conversion
MAP-GL-009,General Ledger,ACDOCA,KOSTL,journalEntry.costCentre,"LTRIM(KOSTL,'0') then validate against CC master",If present must exist in cost-centre dimension,ERR-MAP-003;ERR-VAL-004,GL->CC referential link; master syncs before transactional
MAP-GL-010,General Ledger,ACDOCA,PRCTR,journalEntry.profitCentre,"LTRIM(PRCTR,'0') then validate against PC master",If present must exist in profit-centre dimension,ERR-MAP-003;ERR-VAL-004,GL->PC referential link; drives segment profitability
MAP-GL-011,General Ledger,ACDOCA,MONAT,journalEntry.fiscalPeriod,"MAP 001->April..012->March (V3); 013-016->012 with specialPeriod=true",Range 001-016; flag special periods,ERR-MAP-002;ERR-VAL-002,Fiscal-to-calendar period mapping for India V3; year-end adjustments
MAP-GL-012,General Ledger,ACDOCA/BKPF,BLART+STBLG,journalEntry.documentType,MAP BLART to analytics enum; if STBLG set isReversal=true,Must map to valid analytics document type,ERR-MAP-001;ERR-VAL-003,Document type drives processing rules; reversal flag prevents double count
MAP-GL-013,General Ledger,ACDOCA,RBUKRS,journalEntry.tenantId,MAP MC01->MERIDIAN-MC01 MC02->MERIDIAN-MC02 MC03->MERIDIAN-MC03,Must resolve to one of 3 canonical tenants,ERR-MAP-001;ERR-VAL-003,Canonical multi-tenant routing; selects Kafka partition
MAP-GL-014,General Ledger,ACDOCA,GJAHR,journalEntry.fiscalYear,Direct map; cast integer YYYY,Range 2000-2099; equals year of documentId,ERR-VAL-002,Fiscal year for period-over-period analytics
MAP-GL-015,General Ledger,ACDOCA,BUZEI,journalEntry.lineNumber,CAST(BUZEI AS INT),NOT NULL; >0; unique within documentId,ERR-MAP-001;ERR-VAL-002,Line-item sequence; guarantees uniqueness of each line
MAP-GL-016,General Ledger,ACDOCA/BSEG,HSL/SHKZG,journalEntry.debitCreditIndicator,IF SHKZG='S' OR HSL>=0 THEN 'DEBIT' ELSE 'CREDIT',Enum {DEBIT CREDIT},ERR-MAP-006;ERR-VAL-003,Explicit D/C flag underpins zero-variance debit=credit reconciliation
MAP-GL-017,General Ledger,BKPF,USNAM,journalEntry.postedBy,Direct map; UPPERCASE trim,Max length 12; NOT NULL for posted docs,ERR-MAP-001;ERR-VAL-001,User who posted document; segregation-of-duties audit
MAP-GL-018,General Ledger,BKPF,TCODE,journalEntry.sourceTransactionCode,Direct map; default UNKNOWN if null,Max length 20,ERR-MAP-001,Originating SAP transaction; classifies posting channel
MAP-AP-001,Accounts Payable,BSIK,BUKRS+GJAHR+BELNR+LIFNR,payable.payableId,"CONCAT(BUKRS,'-',GJAHR,'-',LTRIM(BELNR,'0'),'-',LTRIM(LIFNR,'0'))","NOT NULL; regex ^[A-Z0-9]{2,6}-\d{4}-\d{1,10}-\d{1,10}$",ERR-MAP-001;ERR-VAL-001,Composite open-item key; idempotency and lineage
MAP-AP-002,Accounts Payable,BSIK,LIFNR,payable.vendorId,"LTRIM(LIFNR,'0') then validate vendor master",Must exist in LFA1,ERR-MAP-001;ERR-VAL-004,Links payable to vendor dimension; master before transaction
MAP-AP-003,Accounts Payable,LFA1,NAME1,payable.vendorName,Enrichment join on LIFNR; TRIM,NOT NULL; max length 35,ERR-MAP-001;ERR-VAL-001,Vendor name for AP ageing and payment reports
MAP-AP-004,Accounts Payable,BSIK,DMBTR+SHKZG,payable.openAmount,"DECIMAL(DMBTR,2); sign -DMBTR if SHKZG='S' else +DMBTR","NOT NULL; range -999999999.99 to 999999999.99",ERR-MAP-001;ERR-VAL-002,Open liability amount; core of AP balance and cash-flow forecast
MAP-AP-005,Accounts Payable,LFA1,STCD3/STCD1,payable.gstin,Direct map UPPERCASE; validate GSTIN pattern,GSTIN 15-char regex; PAN regex,ERR-MAP-001;ERR-VAL-001,India GST compliance; invalid GSTINs quarantined not blocking clean records
MAP-AP-006,Accounts Payable,BSIK,ZFBDT,payable.ageingBucket,"days=DATEDIFF(extractionDate,ZFBDT); bucket 0-30/31-60/61-90/90+",ZFBDT NOT NULL valid date,ERR-MAP-002;ERR-VAL-002,Ageing analysis for AP dashboard and DPO
MAP-AP-007,Accounts Payable,BSIK/LFC1,ZFBDT+ZTERM,payable.dueDate,dueDate=ZFBDT+termDays(ZTERM) then FORMAT,Must be >= ZFBDT,ERR-MAP-002;ERR-VAL-005,Net due date drives payment scheduling and overdue detection
MAP-AP-008,Accounts Payable,LFC1,AKONT,payable.reconciliationAccount,"LTRIM(AKONT,'0') then CoA lookup",Must exist in chart of accounts,ERR-VAL-004,Ties AP sub-ledger to GL reconciliation account
MAP-AP-009,Accounts Payable,LFC1,ZTERM,payable.paymentTerms,MAP ZTERM to enum + termDays,Must map to known payment-term code,ERR-VAL-003,Standardises SAP payment-term keys for analytics
MAP-AP-010,Accounts Payable,BSIK,AUGBL+AUGDT,payable.clearingStatus,IF AUGBL<>'' THEN CLEARED (clearingDate=AUGDT) ELSE OPEN,Enum {OPEN CLEARED},ERR-VAL-003,Clearing status determines open-items report inclusion
MAP-AP-011,Accounts Payable,BSIK,UMSKZ,payable.specialGlIndicator,MAP UMSKZ to enum; default NONE if blank,Must map to known indicator,ERR-VAL-003,Distinguishes special GL transactions (down payments)
MAP-AP-012,Accounts Payable,LFA1,LAND1,payable.vendorCountry,MAP SAP country key to ISO 3166 alpha-2,Valid ISO 3166 code,ERR-VAL-003,Domestic vs import; drives IGST vs CGST/SGST treatment
MAP-AR-001,Accounts Receivable,BSID,BUKRS+GJAHR+BELNR+KUNNR,receivable.receivableId,"CONCAT(BUKRS,'-',GJAHR,'-',LTRIM(BELNR,'0'),'-',LTRIM(KUNNR,'0'))","NOT NULL; regex ^[A-Z0-9]{2,6}-\d{4}-\d{1,10}-\d{1,10}$",ERR-MAP-001;ERR-VAL-001,Composite open-item key; idempotency and lineage
MAP-AR-002,Accounts Receivable,BSID,KUNNR,receivable.customerId,"LTRIM(KUNNR,'0') then validate customer master",Must exist in KNA1,ERR-MAP-001;ERR-VAL-004,Links receivable to customer dimension
MAP-AR-003,Accounts Receivable,KNA1,NAME1,receivable.customerName,Enrichment join on KUNNR; TRIM,NOT NULL; max length 35,ERR-MAP-001;ERR-VAL-001,Customer name for AR ageing and collections
MAP-AR-004,Accounts Receivable,BSID,DMBTR+SHKZG,receivable.openAmount,"DECIMAL(DMBTR,2); sign +DMBTR if SHKZG='S' else -DMBTR","NOT NULL; range -999999999.99 to 999999999.99",ERR-MAP-001;ERR-VAL-002,Open receivable amount; core of AR balance and DSO
MAP-AR-005,Accounts Receivable,KNA1,STCD3/STCD1,receivable.gstin,Direct map UPPERCASE; validate GSTIN pattern,GSTIN 15-char regex,ERR-MAP-001;ERR-VAL-001,Customer GST identity for GSTR-1 outward-supply reconciliation
MAP-AR-006,Accounts Receivable,BSID,ZFBDT,receivable.ageingBucket,"days=DATEDIFF(extractionDate,ZFBDT); bucket 0-30/31-60/61-90/90+",ZFBDT NOT NULL valid date,ERR-MAP-002;ERR-VAL-002,AR ageing for collections prioritisation and DSO
MAP-AR-007,Accounts Receivable,BSID/KNC1,ZFBDT+ZTERM,receivable.dueDate,dueDate=ZFBDT+termDays(ZTERM) then FORMAT,Must be >= ZFBDT,ERR-MAP-002;ERR-VAL-005,Net due date drives overdue detection and dunning trigger
MAP-AR-008,Accounts Receivable,KNKK,KLIMK,receivable.creditLimit,"DECIMAL(KLIMK,2); creditExposurePct=openBalance/KLIMK*100",KLIMK >= 0; guard divide-by-zero,ERR-MAP-006;ERR-VAL-002,Credit-limit integration; flags customers over exposure
MAP-AR-009,Accounts Receivable,BSID,MAHNS,receivable.dunningLevel,MAP MAHNS 0-9 to enum {NONE REMINDER DUNNING_1 DUNNING_2 LEGAL},Range 0-9,ERR-VAL-002;ERR-VAL-003,Dunning level for collections workflow and bad-debt risk
MAP-AR-010,Accounts Receivable,BSID,AUGBL+AUGDT,receivable.clearingStatus,IF AUGBL<>'' THEN CLEARED (clearingDate=AUGDT) ELSE OPEN,Enum {OPEN CLEARED},ERR-VAL-003,Clearing status determines open-items report inclusion
MAP-AR-011,Accounts Receivable,KNC1,AKONT,receivable.reconciliationAccount,"LTRIM(AKONT,'0') then CoA lookup",Must exist in chart of accounts,ERR-VAL-004,Ties AR sub-ledger to GL reconciliation account
MAP-AR-012,Accounts Receivable,KNA1,LAND1,receivable.customerCountry,MAP SAP country key to ISO 3166 alpha-2,Valid ISO 3166 code,ERR-VAL-003,Domestic vs export; export zero-rated / IGST treatment
MAP-CC-001,Cost Centre,CSKS,KOSTL,costCentre.costCentreId,"LTRIM(KOSTL,'0')","NOT NULL; regex ^[A-Z0-9]{1,10}$; unique within controlling area",ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Primary key of cost-centre dimension; target for GL->CC references
MAP-CC-002,Cost Centre,CSKT,KTEXT,costCentre.costCentreName,Enrichment join (KOKRS KOSTL DATBI) SPRAS='E'; TRIM,NOT NULL; max length 20,ERR-MAP-001;ERR-VAL-001,Short name for cost reports and variance analysis
MAP-CC-003,Cost Centre,CSKT,LTEXT,costCentre.description,Enrichment join SPRAS='E'; TRIM,Optional; max length 40,ERR-MAP-001,Long descriptive text for dashboard tooltips
MAP-CC-004,Cost Centre,CSKS,KOKRS,costCentre.controllingArea,Direct map,NOT NULL; exists in controlling-area master,ERR-VAL-003;ERR-VAL-004,Controlling area scopes the cost-centre namespace
MAP-CC-005,Cost Centre,CSKS,BUKRS,costCentre.tenantId,MAP MC01->MERIDIAN-MC01 MC02->MERIDIAN-MC02 MC03->MERIDIAN-MC03,Must resolve to canonical tenant,ERR-MAP-001;ERR-VAL-003,Routes master record to correct FinSight tenant
MAP-CC-006,Cost Centre,CSKS,KOSAR,costCentre.category,MAP KOSAR to enum {PRODUCTION SERVICE ADMIN SALES DEVELOPMENT MANAGEMENT},Must map to known category,ERR-VAL-003,Cost-centre category drives allocation and overhead pooling
MAP-CC-007,Cost Centre,CSKS,VERAK,costCentre.personResponsible,Direct map; TRIM,Optional; max length 20,ERR-MAP-001,Accountability owner for variance follow-up
MAP-CC-008,Cost Centre,CSKS,DATAB+DATBI,costCentre.validFrom,"FORMAT(DATAB,'YYYY-MM-DD'); FORMAT(DATBI,'YYYY-MM-DD')",validFrom <= validTo; DATBI default 9999-12-31,ERR-MAP-002;ERR-VAL-005,Time-dependent validity for point-in-time-correct joins
MAP-CC-009,Cost Centre,CSKS/SETNODE/SETLEAF,KHINR+SETNODE+SETLEAF,costCentre.hierarchyLevel1..7,Recursive SETNODE/SETLEAF walk root->leaf KOSTL into Level1..Level7; collapse >7 into Level7 null-fill shallower,Leaf resolves to one root path; no cycles,ERR-MAP-003;ERR-VAL-004,Flattens 7-level hierarchy for dimensional modelling and roll-ups
MAP-PC-001,Profit Centre,CEPC,PRCTR,profitCentre.profitCentreId,"LTRIM(PRCTR,'0')","NOT NULL; regex ^[A-Z0-9]{1,10}$; unique within controlling area",ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Primary key of profit-centre dimension; target for GL->PC references
MAP-PC-002,Profit Centre,CEPCT,KTEXT,profitCentre.profitCentreName,Enrichment join (PRCTR DATBI) SPRAS='E'; TRIM,NOT NULL; max length 20,ERR-MAP-001;ERR-VAL-001,Name for profitability and segment reports
MAP-PC-003,Profit Centre,CEPC,SEGMENT,profitCentre.segment,Direct map; validate against segment master,Must exist in segment master; NOT NULL for reporting PCs,ERR-MAP-003;ERR-VAL-004,Segment underpins IFRS 8 / Ind AS 108 segment reporting
MAP-PC-004,Profit Centre,CEPC,KOKRS,profitCentre.controllingArea,Direct map,NOT NULL; exists in controlling-area master,ERR-VAL-003;ERR-VAL-004,Controlling area scopes the profit-centre namespace
MAP-PC-005,Profit Centre,CEPC/SETNODE/SETLEAF,KHINR+SETNODE+SETLEAF,profitCentre.hierarchyLevel1..7,Recursive SETNODE/SETLEAF walk root->leaf PRCTR into Level1..Level7; collapse >7 null-fill shallower,Leaf resolves to one root path; no cycles,ERR-MAP-003;ERR-VAL-004,Flattens hierarchy for segment roll-ups and drill-down
MAP-PC-006,Profit Centre,CEPC,DATAB+DATBI,profitCentre.validFrom,"FORMAT(DATAB,'YYYY-MM-DD'); FORMAT(DATBI,'YYYY-MM-DD')",validFrom <= validTo; DATBI default 9999-12-31,ERR-MAP-002;ERR-VAL-005,Time-dependent validity for point-in-time-correct joins
MAP-ML-001,Material Ledger,MBEW,MATNR+BWKEY,materialCost.materialCostId,"CONCAT(LTRIM(MATNR,'0'),'-',BWKEY)",NOT NULL; unique per material+valuation area,ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite key of the material-valuation record
MAP-ML-002,Material Ledger,MBEW,BWKEY,materialCost.valuationArea,Direct map; enrich plant->company code,NOT NULL; exists in plant master,ERR-VAL-004,Valuation area scopes the material cost; links to MC0x tenant
MAP-ML-003,Material Ledger,MBEW,VPRSV,materialCost.priceControl,MAP VPRSV S->STANDARD V->MOVING_AVERAGE,Must be S or V,ERR-VAL-003,Price-control indicator governs authoritative price
MAP-ML-004,Material Ledger,MBEW,STPRS+PEINH,materialCost.standardPriceUnit,"DECIMAL(STPRS/NULLIF(PEINH,0),2)",PEINH != 0; within amount range,ERR-MAP-006;ERR-VAL-002,Unit standard cost for planned-cost variance and valuation
MAP-ML-005,Material Ledger,MBEW,VERPR+PEINH,materialCost.movingAvgPriceUnit,"DECIMAL(VERPR/NULLIF(PEINH,0),2)",PEINH != 0; within amount range,ERR-MAP-006;ERR-VAL-002,Actual moving-average cost for actual-costing analytics
MAP-ML-006,Material Ledger,MBEW,SALK3+LBKUM,materialCost.totalStockValue,"DECIMAL(SALK3,2); DECIMAL(LBKUM,3)",Range checks; SALK3 sign-consistent,ERR-MAP-001;ERR-VAL-002,Total inventory value/quantity for balance-sheet inventory line
MAP-ML-007,Material Ledger,MBEW/COSP,SALK3+STPRS+LBKUM+PEINH+WKG001..016,materialCost.priceDifference,"priceDifference=SALK3-(LBKUM*STPRS/NULLIF(PEINH,0)); actualCost=SALK3+SUM(COSP price-diff cols)",PEINH != 0; components reconcile to SALK3 within tolerance,ERR-MAP-006;ERR-VAL-002,Price-difference allocation reconciles standard to actual cost (ML run)
MAP-PO-001,Purchase Orders,EKPO,EBELN+EBELP,purchaseOrder.poLineId,"CONCAT(LTRIM(EBELN,'0'),'-',LTRIM(EBELP,'0'))","NOT NULL; regex ^\d{1,10}-\d{1,5}$; unique",ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite PO-line key; idempotency and procurement lineage
MAP-PO-002,Purchase Orders,EKKO,LIFNR,purchaseOrder.vendorId,"LTRIM(LIFNR,'0') then validate vendor master",Must exist in LFA1,ERR-MAP-001;ERR-VAL-004,Links PO to vendor dimension; spend-by-vendor analytics
MAP-PO-003,Purchase Orders,EKPO,MATNR,purchaseOrder.materialId,"LTRIM(MATNR,'0') then validate material master",Must exist (blank allowed for text POs),ERR-VAL-004,Links PO line to material; procurement-cost analysis
MAP-PO-004,Purchase Orders,EKPO,NETPR+PEINH,purchaseOrder.netPriceUnit,"netPriceUnit=DECIMAL(NETPR/NULLIF(PEINH,0),2); lineNetValue=netPriceUnit*MENGE",PEINH != 0; range checks,ERR-MAP-006;ERR-VAL-002,Pricing-condition net price per base unit and extended line value
MAP-PO-005,Purchase Orders,EKPO/EKET,MENGE+WEMNG,purchaseOrder.grirStatus,openGrQty=SUM(MENGE)-SUM(WEMNG); status FULLY_RECEIVED/NOT_RECEIVED/PARTIAL,WEMNG <= MENGE; qty >= 0,ERR-MAP-006;ERR-VAL-002,GR/IR reconciliation; detects unbilled receipts / undelivered POs
MAP-PO-006,Purchase Orders,EKET,EINDT,purchaseOrder.deliveryDate,"FORMAT(EINDT,'YYYY-MM-DD') earliest open schedule line",Valid date; >= AEDAT,ERR-MAP-002;ERR-VAL-005,Committed delivery date for OTD and supply-risk metrics
MAP-SO-001,Sales Orders,VBAP,VBELN+POSNR,salesOrder.soLineId,"CONCAT(LTRIM(VBELN,'0'),'-',LTRIM(POSNR,'0'))","NOT NULL; regex ^\d{1,10}-\d{1,6}$; unique",ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite SO-line key; order-to-cash lineage
MAP-SO-002,Sales Orders,VBAK,KUNNR,salesOrder.customerId,"LTRIM(KUNNR,'0') then validate customer master",Must exist in KNA1,ERR-MAP-001;ERR-VAL-004,Links SO to customer dimension; revenue-by-customer
MAP-SO-003,Sales Orders,VBAP,NETWR+WAERK,salesOrder.netValue,"DECIMAL(NETWR,2); WAERK validated ISO 4217",Range checks; WAERK valid ISO 4217,ERR-MAP-001;ERR-MAP-004;ERR-VAL-002,Order net value (transaction currency) for order-book reporting
MAP-SO-004,Sales Orders,VBEP/VBAP,KWMENG+BMENG,salesOrder.revenueRecognitionStage,IF BMENG=0 ORDERED elif BMENG<KWMENG PARTIALLY_CONFIRMED elif delivered DELIVERED else CONFIRMED,Enum {ORDERED CONFIRMED PARTIALLY_CONFIRMED PARTIALLY_DELIVERED DELIVERED},ERR-MAP-006;ERR-VAL-003,Revenue-recognition stage for order-to-cash progression and forecast
MAP-SO-005,Sales Orders,VBEP,EDATU,salesOrder.requestedDeliveryDate,"FORMAT(EDATU,'YYYY-MM-DD') earliest schedule line",Valid date; >= VBAK.ERDAT,ERR-MAP-002;ERR-VAL-005,Requested delivery date for OTIF service metrics
MAP-FA-001,Fixed Assets,ANLA,BUKRS+ANLN1+ANLN2,fixedAsset.assetId,"CONCAT(BUKRS,'-',LTRIM(ANLN1,'0'),'-',ANLN2)","NOT NULL; regex ^[A-Z0-9]{2,6}-\d{1,12}-\d{1,4}$; unique",ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite asset key (main+sub number); asset-register lineage
MAP-FA-002,Fixed Assets,ANLA,ANLKL,fixedAsset.assetClass,MAP ANLKL to enum {LAND BUILDING PLANT_MACHINERY FURNITURE VEHICLE IT_EQUIPMENT INTANGIBLE},Must map to known asset class,ERR-VAL-003,Asset class governs Schedule II useful-life and depreciation grouping
MAP-FA-003,Fixed Assets,ANLA,TXT50,fixedAsset.description,Direct map; TRIM,NOT NULL; max length 50,ERR-MAP-001;ERR-VAL-001,Asset description for fixed-asset register and audit
MAP-FA-004,Fixed Assets,ANLZ,KOSTL+PRCTR,fixedAsset.costCentre,"LTRIM(KOSTL,'0'); LTRIM(PRCTR,'0') then validate masters",If present must exist in CC/PC dimensions,ERR-MAP-003;ERR-VAL-004,Cost/profit-centre assignment drives depreciation posting allocation
MAP-FA-005,Fixed Assets,ANLB/ANLP/ANLA,AFASL+NAFAZ+AKTIV,fixedAsset.depreciationMethod,"MAP AFASL to method enum {SLM WDV MANUAL NO_DEP}; periodicDepreciation=DECIMAL(NAFAZ,2); capitalizationDate=FORMAT(AKTIV)","Method maps; NAFAZ in range; AKTIV valid or null (AuC)",ERR-MAP-001;ERR-VAL-002;ERR-VAL-003,Depreciation method + periodic charge for asset roll-forward
MAP-BNK-001,Bank Statements,FEBKO/FEBEP,KUKEY+AZNUM+ESNUM,bankStatement.statementLineId,"CONCAT(KUKEY,'-',AZNUM,'-',LPAD(ESNUM,4,'0'))",NOT NULL; unique per statement line,ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite key of a statement line; idempotency and cash lineage
MAP-BNK-002,Bank Statements,FEBKO,KONTS,bankStatement.bankAccount,Normalise to canonical account/IBAN; strip separators UPPERCASE,NOT NULL; passes checksum where applicable,ERR-MAP-001;ERR-VAL-001,Normalised house-bank account across bank formats
MAP-BNK-003,Bank Statements,FEBEP,KWBTR+VGTYP,bankStatement.lineAmount,"DECIMAL(KWBTR,2); direction CREDIT/DEBIT from VGTYP; signed accordingly",Range checks; direction enum {DEBIT CREDIT},ERR-MAP-001;ERR-VAL-002;ERR-VAL-003,Cash movement amount and direction for cash-position analytics
MAP-BNK-004,Bank Statements,FEBEP,VALUT,bankStatement.valueDate,"FORMAT(VALUT,'YYYY-MM-DD')",Valid date,ERR-MAP-002;ERR-VAL-005,Value date drives cash-flow timing and interest reconciliation
MAP-BNK-005,Bank Statements,FEBEP,VBLNR,bankStatement.clearingStatus,IF VBLNR<>'' THEN CLEARED (clearingDocument=VBLNR) ELSE UNMATCHED,Enum {CLEARED UNMATCHED},ERR-VAL-003,Auto-clearing status; unmatched lines to bank-reconciliation exception
